"","position","abssum1","abssum2","abssum3","abssum4","abssum5","abssum6","abssum7","abssum8","abssum9","abssum10","abssum11","abssum12","abssum13","abssum14","abssum15","abssum16","abssum17","abssum18","abssum19","abssum20","abssum21","abssum22","abssum23","abssum24","abssum25","abssum26","abssum27","abssum28","abssum29","abssum30","abssum31","abssum32","abssum33","abssum34","abssum35","abssum36","abssum37","abssum38","abssum39","abssum40","abssum41","abssum42","abssum43","abssum44","abssum45","abssum46","abssum47","abssum48","abssum49","abssum50","abssum51","abssum52","abssum53","abssum54","abssum55","abssum56","abssum57","abssum58","abssum59","abssum60","abssum61","abssum62","abssum63","abssum64","abssum65","abssum66","abssum67","abssum68","abssum69","abssum70","abssum71","abssum72","abssum73","abssum74","abssum75","abssum76","abssum77","abssum78","abssum79","abssum80","abssum81","abssum82","abssum83","abssum84","abssum85","abssum86","abssum87","abssum88","abssum89","abssum90","abssum91","abssum92","abssum93","abssum94","abssum95","abssum96","abssum97","abssum98","abssum99","abssum100"
"1",1,0.000263432279098197,0.000686809722537873,0.000306716472550761,0.000304680094814103,5.65208129046368e-05,0.000326754890920711,0.000519148194143781,0.000314460878144018,0.000548077454368467,0.00050125431152992,0.000133460869932378,0.000183793294127099,0.000195599252663214,0.000432717771218449,0.00061562057089759,0.000452969396064873,0.000475937657029135,0.000156323118062573,0.000491689802856854,0.000540437124072923,0.000481176935863914,0.000203840869289706,0.000214230791470982,0.000422499338128546,0.000471290815767134,0.000264140772742394,0.000106801308781712,0.000203616044927912,0.000105570762571006,0.000578585397306597,0.00047821939961068,0.000291625807221862,0.00023142844381141,0.000198132785044436,0.000430501298978925,0.000406387188718327,0.000439802655819221,0.000254385407970403,0.000126142312950606,0.000234564550737559,0.000233507983466552,0.000311934547426063,0.000359814199327957,0.000466242534457706,0.000293522491574549,0.000238675878790673,0.000259057707808097,0.000653638708172366,0.000191012954019243,0.000279338824839215,0.000399240892875241,0.00032197535620071,0.000250289886935207,0.000340581368618587,0.000171968674067102,0.000392692058085231,0.000309746174025349,0.000229348021093756,0.00058194969460601,0.00052118449457339,0.000304319742099324,0.000488916994072497,0.000373434366338188,0.000363449592441611,0.000125275629670796,0.000215055246371776,0.000373912822851707,0.000156221934730638,0.000266627203018288,0.00032493026674274,0.000442196066728684,0.000406468065193621,0.00039015310949253,0.000440449348388938,0.000340436698593294,0.000351432179741096,0.00052570093612303,0.000428182453106274,0.000371443404219463,0.000367282787919976,0.00013744176385444,0.000249593502758216,0.000314052306748636,0.000414781532072084,0.000157178857079998,0.000189731057616882,0.000117128416150081,0.000254322691034758,0.000368611545127351,0.000391382080124458,0.000229420809773728,0.000183507463589194,0.000358587258176613,0.000158463590196334,0.000199594749574317,0.000497878985697753,0.000249154509219807,0.000400148114749754,0.000169805958648794,0.000101993917269283
"2",2,0.000370654968719464,0.000620770960267691,0.000476177614473272,0.0004896887949144,0.000193026422721232,0.00109600128780585,0.000791392594692297,0.000276080169271609,0.000460234219644917,0.00123669345339295,0.000451274134320556,0.000470412287540967,0.000321816159157606,0.000473283336759778,0.000749409155076819,0.000540576338607934,0.000912599949515425,0.000185815730905148,0.000558433798687474,0.000682890269672498,0.00112675277341623,0.000263248799001303,0.00065271093899355,0.00117122842857498,0.000687780271277916,0.000596726487856358,0.000277584688518573,0.000512416635046975,0.000326778359521995,0.000779336467530811,0.000337604873493547,0.00029584332878585,0.000781107093644096,0.000433131095633144,0.000949214729189407,0.000343144632097392,0.000799669065600028,0.000747113022953272,0.00078477239003405,0.000704590656823711,0.000207458861950727,0.000353584450294875,0.000982278485025745,0.000785851641921909,0.000758298715481942,0.000663032020611354,0.000368667718248616,0.000804512166723725,0.00100445021234918,0.000165437111746769,0.0013654729409609,0.000659789932797139,0.000357962726411643,0.000582896191872351,0.000371196761079773,0.000871707317855908,0.000307169007143671,0.000685471462929854,0.000917696219403297,0.000796685410023201,0.000432515886927831,0.00047225922025973,0.000618058151303558,0.000665965228108689,0.000431443777415552,0.000773794660744898,0.00041064200443941,0.000560923021680537,0.000509962254000129,0.000507753065903671,0.00076033288405597,0.000551950511180621,0.00045616997522302,0.000988412284641527,0.000403295989542585,0.000284205295429274,0.00122393722631386,0.000693236100914874,0.000719681185728405,0.000813724957879458,0.00029021530326645,0.000679746176501794,0.000663273791360552,0.000695274164172588,0.000610971741480171,0.000316282886160479,0.000401752703282909,0.00046778008891124,0.000625514794592164,0.000695300961524481,0.000563588389923098,0.000242998761336821,0.00100324568484211,0.000526092512700416,0.000382431144089423,0.000618304842646467,0.000829661570605822,0.000673784086302476,0.000342707546224119,0.000376408388547134
"3",3,0.000313807349812123,0.000413976393701887,0.000373705735910335,0.000164316642440099,0.000292606113362126,0.000519037406775169,0.000306413792714011,0.000334279558046546,0.00028960731197003,0.000477668581879698,0.00030349303415278,0.000420545808083261,0.000113402034912724,0.000355804522769176,0.000184315445949323,0.00025879128975248,0.000248413523877389,0.000239596150265697,0.00046744470273552,0.000413632827985566,0.000295757303319988,0.000194320888112998,0.000420891938119894,0.000537507510671276,0.000558206556888763,0.000386395784516935,0.000212362307593139,0.000385789073334308,0.000241219445797469,0.000546327115444001,0.000322136076647439,0.000302429913062952,0.000438032497186214,0.000155125637320452,0.000245590485064895,0.000184437151347083,0.000235088681961315,0.00018422360153636,0.000203176690845908,0.00040327518399863,6.14936948295508e-05,0.000552208475710358,0.000481023525935598,0.000336638738417605,7.56441240810091e-05,0.000431364685937297,0.000291189448944351,0.000400665091092378,0.000103564256846767,0.000163022947162972,0.000686134102579672,0.000375818897509816,0.000215179517908837,0.000167000419196484,0.000105911804610059,0.000299765375530114,0.000175017258698063,0.000161611512339732,0.000678185013384791,0.000343201452778885,0.000128877457314047,0.000440981224528514,0.000202298891963437,0.000357054730557138,0.000256394048392394,0.000462237669125898,0.000133598927163803,0.000252161014941521,0.000492166323965648,0.000145369720939925,0.00034089091604983,0.000122232804642408,0.0003202414354746,0.000423123005020898,0.000507428001583321,0.000206527500267839,0.000253126190727926,0.000446997215476586,0.000204432693863055,0.000314401688228827,0.000139085469982092,0.000232093692829949,0.000356689288764755,0.000292733309834148,0.000508161832613041,0.000367759368600673,0.000254099659287021,0.000239038720110329,0.000315332935315382,0.000496369208121905,0.000265732509433292,0.000128394366583962,0.000461115916550625,0.000186099810889573,0.000218932716961717,0.000206654591238475,0.000605860739597119,0.000303801931295311,0.000142920235703059,9.92864393083437e-05
"4",4,0.000547622313206375,0.000434576842962997,0.000366277219654876,0.000418080806412036,0.000439619692770066,0.000487813224026468,0.000525780951647903,0.000137795686896425,0.000628501067694742,0.000478039803056163,0.000169794058820116,0.000207315093575744,0.000381324061891064,0.00128144232439809,0.000453839002148015,0.000225381262680457,0.000619876010205189,0.000210021174552821,0.000825840398647415,0.00047197209278238,0.000972021522102295,0.000158106367962318,0.000356669501343276,0.000936258307774551,6.61849499010714e-05,0.000260792214248795,0.000490217622427735,0.000313239048409741,0.000206112402338476,0.000701445183949545,0.000450192512289505,0.00021893093980907,0.000761437506298535,0.000212265150366875,0.000603837080234371,0.000155603126586357,0.000517243321155547,0.00072762400850479,0.000442404407294816,0.00042338782918705,0.000189954656889313,0.000363933164408081,0.000947869652009103,0.00084913863975089,0.00114971489892923,0.000771768976846943,0.00073607309604995,0.00108812825783389,0.000232835527640418,0.000386194310522114,0.000649780013191048,0.000679985221722745,0.000424283163738437,0.000375673585949698,0.000330179304228295,0.000713501669451944,0.000314857456032769,0.000659698347590165,0.000448114977189107,0.000719530187780038,0.000195154337689019,0.000554173850105144,0.0010142080791411,0.000422032047936227,0.000605072295002174,0.000661370191664901,0.000255356783554817,0.000314524146233452,0.000295501051368774,0.000575926983401587,0.000284400528471451,0.000416324466641527,0.000432730946158699,0.000709170053596608,0.000571297285205219,0.000565369999094401,0.00100571841994679,0.000814958526461851,0.000339733257987973,0.000331428509980469,0.000180371136252688,0.000584881666327419,0.000568135525099933,0.000567359751585172,0.000395646071240208,0.000125662072605337,0.000877321133884834,0.000876210116985021,0.00031064186077856,0.000282871949821129,0.000834574326290749,0.000339181624440243,0.000567928742384538,0.00019608014372352,0.000148947598063387,0.00068475776242849,0.000437040009273915,0.000798061773821246,0.000180651318260061,0.000311520233481133
"5",5,0.000775276566855609,0.00157232640776783,0.000385361864694289,0.000753401119254704,0.00083899921264674,0.000902846518783917,0.00130715421983041,0.000624802320999152,0.000536042116436874,0.00159182188144769,0.00139691702497657,0.000596624611716834,0.000758166557716322,0.0015732012616354,0.000852264079867382,0.000530860987055348,0.00184518182868487,0.000348231619454964,0.000636660498457786,0.000604857490543509,0.00134206363873091,0.000800768622866599,0.00100703605266972,0.00199303459703515,0.00120438355770602,0.000905446937395027,0.000603178696110263,0.000854417292430298,0.000904223183624708,0.00182598234096076,0.000596921725446009,0.000549679071355058,0.00169598175853025,0.000637864250620623,0.00162110357450729,0.000996002610918367,0.00111988346725411,0.000655600500977016,0.00113923869941956,0.00115972266939934,0.000219822527924407,0.00179233400558587,0.00133458937489195,0.000574446335122047,0.000812700555798074,0.00151635972724762,0.000868177519805613,0.00122094627658953,0.00104443031887058,0.000381004480004776,0.000914407842174114,0.00160637328372104,0.000405525300266163,0.000773664080952585,0.00105990053452842,0.000800177946075564,0.000449353385192808,0.000857299397466704,0.00148089502317816,0.000611524901387384,0.000484345961922372,0.00122762296814471,0.000947181466472102,0.000978652640696964,0.000893330083272303,0.000830397966637975,0.000317862281008274,0.000240547122302814,0.000980022112344159,0.000793733931459428,0.00155184182585799,0.000827051437227055,0.00131531416627695,0.00184777517279144,0.000815927271105465,0.000669362232656567,0.000687547244524467,0.00112206109042745,0.00137259135954082,0.0019033807161577,0.00037406290744002,0.00124754306307295,0.000853851646752446,0.0011276307341177,0.00114360734733054,0.000833999843962374,0.000842019013362005,0.000749371578422142,0.000728549762243347,0.00122908718185499,0.00074447492534091,0.000445049600784841,0.000957280531110882,0.000479856797937828,0.000878247654327424,0.000835960243421141,0.00109262875776039,0.00217472367512528,0.000406500567351031,0.000587945465667872
"6",6,0.00097071620615452,0.000971221867075656,0.000147236408793106,0.00053229716951364,0.000883938235347159,0.00175115167076001,0.00137512924084149,0.000465299512143247,0.000399571637899498,0.000676662892146851,0.000960378170930198,0.000403893309112391,0.000664128860307756,0.000390944978789776,0.000405111910822598,0.000941685063480691,0.000952520509599708,0.000238517680827499,0.000279187564956374,0.000640192782157101,0.000613771988355438,0.000430461730502429,0.00107559742900776,0.000632149913144531,0.000814848932350287,0.000427456830948358,0.000584550683129237,0.000936856798944063,0.00076064640597906,0.000721271568181692,0.00034548524672573,0.000568920332000289,0.000529613944081575,0.000774773968259979,0.00076160195749253,0.000882728625583695,0.00101273269797275,0.00046481768367812,0.000989436730378657,0.00113090285594808,0.000376940236492374,0.000620672028162517,0.000473020889330655,0.00032287201975123,0.000434970434980642,0.00097545739117777,0.000712998920107566,0.00132970637332619,0.000501450405067771,0.000416984512867202,0.000506032232806319,0.0012013713367196,0.000674621319376456,0.000528284148458624,0.000396511398776056,0.000606810911847333,0.000674828763294499,0.00091649223031709,0.00137747412099998,0.000368036309737363,0.000356637685172245,0.000628503393272695,0.000328738336065726,0.000676903842531829,0.000148008742939965,0.000483173584143515,0.00045723702532996,0.000431585952355817,0.00083845932931581,0.00073068527126452,0.0015314581110033,0.000628910751402145,0.00032163141258934,0.00166384776457562,0.000833563347896416,0.000576827012991998,0.000823844526166795,0.000943481951253489,0.00085535881225951,0.000577705841351417,0.000324108877521212,0.00124457103993336,0.00044329804222798,0.000730480962374713,0.000853536494787477,0.000657858804515854,0.000550302496776567,0.000717495027856785,0.000906859456335951,0.00105922940656455,0.000402595891500823,0.000430142841651104,0.000375827348761959,0.000390634194445738,0.000746675994832913,0.000566695257930405,0.00077958212204976,0.000808183667686535,0.00033143094492516,0.000448503249117493
"7",7,0.000906049600416736,0.000995086716102378,0.000649601879558759,0.000932559327338822,0.000320374900184106,0.000678663658618461,0.000780774347504121,0.000508155724673998,0.000584637548058708,0.00176290430317749,0.00107824173755944,0.000372174745280063,0.000692666682880372,0.000713766494300216,0.00120621763852569,0.00102247202266881,0.00126363222079817,0.000273017224571959,0.00050460938859942,0.000531114286332013,0.000483989244003169,0.000672459769930356,0.00106376236362848,0.000946907632169314,0.00056843577476684,0.000787738596955023,0.000249280088610249,0.000296439641715551,0.000829060685646255,0.00166154707403621,0.000768466263252776,0.000519404861734074,0.000560079730348662,0.000299874551274115,0.00152145097672474,0.000364927778718993,0.000875148958584759,0.000567647071875399,0.000399721997382585,0.0012141457737016,0.000282125678495504,0.000546184061022359,0.000969296495895833,0.000948978500673547,0.000926167034776881,0.000736297537514474,0.000408065163355786,0.00191958603500098,0.00057703272591425,0.000551025229924562,0.000343172177508677,0.00106954477723775,0.000451267365860986,0.000663458377857751,0.000845412159833359,0.000607259593380149,0.000180328717306111,0.00100792909552183,0.000787286298873369,0.00077196565871418,0.000404284804972121,0.000559098230496602,0.000559406798856799,0.00045221784421301,0.000494379361043684,0.000533302571056993,0.000366473286703695,0.000273621560154425,0.000826322322609485,0.000763600339269033,0.00121292682888452,0.000589112700254191,0.000601370238655363,0.0012222251680214,0.000623093948888709,0.000225844725719071,0.000872886366778403,0.000713562298187753,0.000743346976378234,0.001084636669475,0.000218463100281951,0.000992440614027146,0.000619127713434864,0.000645136075490882,0.000995925664028618,0.000492108054459095,0.0003433367528487,0.000588583234275575,0.000840835989947664,0.00106299071785543,0.000395616023524781,0.000326388365465391,0.0011005952146661,0.000398500027586124,0.000593134313021437,0.00125077963457443,0.00100520260639314,0.0015004542292445,0.000351198017597198,0.00033536091659947
"8",8,0.000783513580245199,0.00221329405394499,0.000708869160916947,0.000643123596091755,0.000361090215619697,0.000759268914407585,0.000557758566628763,0.000705634725818527,0.000478166188258911,0.000806915395514807,0.00117578091885662,0.000967563461017562,0.000296030448225792,0.000385518756957026,0.000884929364474374,0.000660925771171605,0.0015527718969679,0.000191183386050398,0.000698954077961389,0.000897381221875548,0.000768648415032658,0.000608210604696069,0.00107543087506201,0.000754840371882892,0.000310430360514147,0.000375161278043379,0.000529136486875359,0.000725028627130087,0.000987228515441529,0.00112726477436809,0.00066867885470856,0.000542002698693977,0.000439443396317074,0.000285188989437302,0.00154688474867726,0.000539138709427789,0.0011046769504901,0.00047764445298526,0.00076045337323194,0.000806783020379953,0.000353478367287607,0.000771851375247934,0.000816729204416333,0.000820514156657737,0.000562996483495226,0.00125683732039761,0.000623549691226799,0.00102756580781715,0.000292673266812926,0.000523437625815859,0.000947378865930659,0.00103446382490802,0.000426065443207335,0.000290112837774359,0.000381839861802291,0.000507894930706243,0.000418983397139527,0.000854624439853069,0.000805045955985406,0.000504047384310979,0.0003427629012549,0.000972801894761233,0.000678746779158246,0.000333392115862807,0.000529320102913289,0.000762166928325314,0.00024858574784048,0.000724360957974568,0.000880084175150841,0.000947558224652312,0.00098528372382134,0.000591015479585622,0.000605483230174286,0.00115735038707498,0.000903419771248082,0.000523302784131374,0.000529668333911104,0.0015251349832397,0.000732551869077724,0.00191315908523393,0.000334846758960339,0.000938289598707343,0.000872182092280127,0.000433908098784741,0.000741131654649507,0.000780216381826904,0.000329576133935916,0.000801592046627775,0.000694593909429386,0.000999025920464192,0.000251348550591501,0.000578913903154898,0.00113438204789418,0.000333937673531182,0.000810933503089473,0.000482090239529498,0.000909701950149611,0.00113051652442664,0.000565275068595383,0.000499700429827499
"9",9,0.000489336247483152,0.000928316987483413,0.000966080146099557,0.000742553142117686,0.000731596840978455,0.000937986492317577,0.00133229121638578,0.000432693712355103,0.000491446435262333,0.00193868116184603,0.000407164798616577,0.000565187743632123,0.000612319986430521,0.00101126590743661,0.0003062216037506,0.000342457002716401,0.000939740733883809,0.000368184210856271,0.000711224052793114,0.00019971579695266,0.000892808471689932,0.000321980315675319,0.00132649717124877,0.00103606175980531,0.000559605281523545,0.000379491325475101,0.000540371006053419,0.000294081021138481,0.000508700732098077,0.000918766720133135,0.00095754639187362,0.0002208116352449,0.000521147766448848,0.000247048598566835,0.000993381541775307,0.000798023294464656,0.00112703362538014,0.000566309832265688,0.000669122531689936,0.00052182279250701,0.000278222150882357,0.00144305732465,0.00147668479257845,0.000447582034212246,0.000598274629737716,0.000551293915123097,0.000959193224844057,0.00123610496666515,0.000841856195620494,0.000394206001146813,0.00151272354560206,0.00117772109297221,0.000702731556884828,0.000847034363857802,0.000578272538405145,0.000947421643104462,0.000664124498143792,0.000520477293321164,0.000842885121528525,0.000949367162789372,0.000257368379607215,0.00108961557270959,0.000780871125243721,0.000705274956089852,0.000528282444065553,0.000593772446336516,0.000298564040349447,0.000631429960776586,0.00157731060608057,0.000495080174005125,0.00177937532862416,0.000314212732519081,0.000656893897030386,0.0013130286570231,0.000590580071730074,0.00104301294777542,0.00101162326973281,0.000883907559909858,0.000643149396637455,0.00157828963347129,0.000284323324649449,0.000856363250932191,0.000575666745135095,0.000553954145289026,0.000971066582224012,0.000724345356502454,0.000959417410967944,0.000511248390921537,0.00100933021349192,0.00109583671883229,0.000303926369269902,0.000514481702339253,0.000588131685844928,0.000210763485483767,0.000521034697158029,0.000915262913622428,0.000711628183125868,0.00164141040295362,0.000509104282400585,0.000365739382687025
"10",10,0.000838661561829213,0.00135012950340752,0.000490773809360689,0.000687813778313284,0.00075462452332431,0.00129717877007351,0.000274813245141559,0.000714908024747274,0.000779518824856495,0.00115226446359884,0.000539361009032291,0.000898656639037654,0.000594368975725956,0.000975364746409468,0.000759098249545787,0.00075816010030394,0.00142646020685788,0.000397107027765742,0.00100376634509303,0.000238802267631399,0.000582134980504634,0.000783194613177329,0.000350082735167234,0.00128148213843815,0.00158325377196888,0.000346548937159241,0.000565223929243075,0.0006641252521149,0.000709223688318161,0.000983858819381567,0.000398317884446442,0.000645956424705219,0.000826807139674202,0.000472040092063253,0.00150922119792085,0.000606364333179954,0.000678026779496577,0.00079040302807698,0.00107973935951122,0.000601849311351543,0.000131997354401392,0.00037736108788522,0.000759882630518405,0.000836734583572252,0.000860310919961194,0.000836949842778267,0.000992946472251788,0.00119708749662095,0.000738062776235893,0.000228760498430347,0.000797547974798363,0.00125318291384247,0.00078174385271268,0.000727017111785244,0.000903597581782378,0.000855846592457965,0.000500838086736621,0.000578039092943072,0.00066503126436146,0.000504109782923479,0.000457011305115884,0.000534891485585831,0.000727942542653182,0.000347344313922804,0.000471832790935878,0.00074021326872753,0.000217674476516549,0.000441321139078354,0.00103989729359455,0.000936948506478075,0.00200027390383184,0.000260066496593936,0.000884291868715081,0.00112921446998371,0.000218896972000948,0.00030535522455466,0.000961610580816341,0.000623537843239319,0.000567737988603767,0.00164172633321868,0.00025223355100934,0.000832708094094414,0.000432057426223764,0.000527413712916314,0.000663991377223283,0.00050891880709969,0.000531894182131509,0.000475362694487558,0.00126126559189288,0.0014324967196444,0.000396861307763174,0.000483392391288362,0.00127372997121711,0.00020639140620915,0.000699550841773089,0.000820771376311313,0.000990518699836684,0.00115422196540749,0.000466974383471097,0.000382934847948491
