"position","abssum1","abssum2","abssum3","abssum4","abssum5","abssum6","abssum7","abssum8","abssum9","abssum10","abssum11","abssum12","abssum13","abssum14","abssum15","abssum16","abssum17","abssum18","abssum19","abssum20","abssum21","abssum22","abssum23","abssum24","abssum25","abssum26","abssum27","abssum28","abssum29","abssum30","abssum31","abssum32","abssum33","abssum34","abssum35","abssum36","abssum37","abssum38","abssum39","abssum40","abssum41","abssum42","abssum43","abssum44","abssum45","abssum46","abssum47","abssum48","abssum49","abssum50"
1,0.00378240453846956,0.00333796464838088,0.00336903618881479,0.00346430939680431,0.00342744452063926,0.00282211156445555,0.00282211156445555,0.0016246613668045,0.00567946303635836,0.00120992022857536,0.00169642728360486,0.00176759796522674,0.00463886407669634,0.00146033532291767,0.00528113820473664,0.00365128123667091,0.0016246613668045,0.00440567039186135,0.00256802164949477,0.00367729918798432,0.00266715214820579,0.00256764075311366,0.00332162753329612,0.00354118831455708,0.00172574352291122,0.00218611959462578,0.00145718031899378,0.00120992022857536,1.509391631771e-05,0.000115823343548982,0.000127614756820549,1.02939319504003e-05,0.00279709792812355,4.15333873888812e-05,2.58803987804868e-05,0.000104634974377404,3.92016106616211e-05,3.72156114281097e-05,1.67233317043269e-05,3.97921126022993e-05,3.56988600742625e-05,0.000398589686483319,0.00274154886210454,0.00215846484934445,0.000403580317652086,3.21701922985085e-05,0.000178551363774204,0.00016745955326769,9.89323216344928e-05,2.15020613723027e-05
2,0.0039953379164217,0.0035033673630096,0.00261701722047292,0.00394087560562184,0.00373444164870307,0.00131341304950183,0.00131341304950183,0.00139308442157926,0.00264808011706918,0.00207090040203184,0.00316934048896655,0.00216965325671481,0.00584306882228702,0.00606521114241332,0.0056309278588742,0.00284650384855922,0.00139308442157926,0.00302251290122513,0.00332906251423992,0.00301090166612994,0.00272692373255268,0.00261280178892775,0.00115420438305591,0.00223131041275337,0.00332689718925394,0.00377138538169675,0.00603309035068378,0.00207090040203184,4.33138047526427e-05,7.52907262722147e-05,0.000230417421335005,4.45332361778128e-05,0.00200030046107713,3.40686819981784e-05,2.19863255779273e-05,0.000106109557236778,4.77757873795781e-05,2.13190038067523e-05,2.06841602903296e-05,6.47408496661228e-05,8.35470211768552e-05,0.000331343648213078,0.00643599654722493,0.000401560223508568,0.00027234610843152,3.79391219667014e-05,0.000150099442180363,0.000105802415127698,0.00017336632572551,4.34803013362739e-05
3,0.00429738021921366,0.0034504646610003,0.00532853923505172,0.00407366050058044,0.00445140467491001,0.00209293883744976,0.00209293883744976,0.00199396482639713,0.00873991640401073,0.00285917957444326,0.00699171278392896,0.00534010582487099,0.00463744706939906,0.0049861806910485,0.00410462461877614,0.00347791146486998,0.00199396482639713,0.00583713792730123,0.00200805073836818,0.00339867494767532,0.00478146865134477,0.00629776896676049,0.00363678325084038,0.00870807084720582,0.00709435780299827,0.00748277909588069,0.00495327002136037,0.00285917957444326,2.64666896327981e-05,0.000135429211354676,0.000226767720960197,0.000122599276778601,0.00313058345636819,4.38875968029606e-05,2.47214532009821e-05,0.000113303230591555,4.12922422583506e-05,4.16658626818389e-05,3.72226622857852e-05,3.98674479811234e-05,7.48460236081883e-05,0.00052843938829028,0.00339055656513665,0.000789318436545727,0.000249478407795323,2.27513764627929e-05,0.000343669875292107,0.000122031900900765,7.79611632424348e-05,5.21573820151389e-05
4,0.00846726587042212,0.00371418676513713,0.00738241049111821,0.00340436436817981,0.00502979732118547,0.00600865340675227,0.00600865340675227,0.00556096588843502,0.00659696859656833,0.00207697770383675,0.00493828739854507,0.0046357921382878,0.00141780825651949,0.00626242581347469,0.0019598432991188,0.00268570679691038,0.00556096588843502,0.00430867279646918,0.00560411723563448,0.0028901113619213,0.00550476305943448,0.00573742145206779,0.00167992527713068,0.00460393249522895,0.0049890146474354,0.00540992128662765,0.00622262209071778,0.00207697770383675,1.38565543466029e-05,0.000213789400731912,0.000341334591212217,3.36682310404512e-05,0.00301354700059164,9.74616705207154e-05,8.48473814585304e-05,7.07175428260598e-05,3.9519900610685e-05,8.742787031224e-05,1.91800213542592e-05,7.86659406912804e-05,0.000137732043185679,0.000484709251395543,0.00382163221365772,0.0013014531286899,0.00039917639514897,1.62873996032431e-05,0.000385021026886534,0.000267813902610214,9.62250123848207e-05,7.34635596018052e-05
5,0.00451383579638787,0.00180424363497877,0.00660615286324173,0.00694738270249218,0.0100206915521994,0.00877635335200466,0.00877635335200466,0.00748929404653609,0.00588024646276608,0.00472652717326127,0.00843588309362531,0.00488991965539753,0.00430469331331551,0.00228634953964502,0.00546344963368028,0.00570776764652692,0.00748929404653609,0.00814800655643921,0.00370728661073372,0.00598989281570539,0.00482533316244371,0.00906314123130869,0.00122142152395099,0.00955046401941217,0.00873556268925313,0.00856875085446518,0.00227960752090439,0.00472652717326127,2.03420488560369e-05,0.000196955510546104,0.000217924393837166,0.000119140055176103,0.00110534011037089,5.66213384445291e-05,5.35494589257723e-05,0.000197788763216522,6.86294586103031e-05,5.97104856296937e-05,4.0292512949236e-05,7.08377947375993e-05,9.74670592768234e-05,0.000263983922195621,0.00340400391723961,0.00265009657596238,0.000524788889379124,4.76597286933611e-05,0.000235568822972709,0.000212811237361166,0.000177156933204969,7.69905784068214e-05
6,0.00466335331293521,0.00631430500652641,0.0108734891691711,0.00337399310228648,0.00602011568844318,0.00168749867043516,0.00168749867043516,0.00135950032267829,0.00290531012979045,0.00310903873469215,0.00829934776993468,0.00528685632161796,0.00691065663704649,0.00583966012345627,0.0103498375974596,0.00320822757203132,0.00135950032267829,0.00458327762316912,0.00177277608599979,0.00336318946210667,0.0113212842261419,0.00937966903438792,0.00523423356935382,0.00561515794834122,0.00848850526381284,0.00916017882991582,0.00585397297982126,0.00310903873469215,3.90816749131773e-05,5.77806308683648e-05,0.000426793543738313,0.000101825995443505,0.00214210091507994,5.07968550209625e-05,8.52240957556205e-05,8.45064259920036e-05,9.8112596788269e-05,7.83074792707339e-05,3.47693521689507e-05,6.01068265950744e-05,0.000156457851062441,0.000722589256838546,0.00471887149615213,0.00399862565973308,0.00137634504062589,3.83630244868982e-05,0.000460388881037943,0.000318648222673801,0.000249220157456875,9.30334754229989e-05
7,0.0104621720965952,0.00854913995135576,0.0091089564957656,0.0106879903614754,0.00787783693522215,0.0053443763172254,0.0053443763172254,0.0051252311677672,0.0052896490378771,0.000872132295626216,0.00572069911868311,0.00553138493705774,0.00680442877637688,0.00284735157038085,0.00431487442256184,0.00572580543666845,0.0051252311677672,0.00429461384192109,0.00436793333210517,0.00584274664288387,0.00830087369831745,0.00532966406171909,0.00440046344010625,0.00759760243818164,0.00579843047307804,0.006662632455118,0.00285195920150727,0.000872132295626216,3.32077426037358e-05,0.000129201045638183,0.000288557959720492,0.000183362940333609,0.00117332944410009,5.49702604075719e-05,7.28776985852164e-05,0.000158766702952562,1.95342887110428e-05,6.63263208480203e-05,3.81468541945651e-05,0.000101066278602957,0.000141972416713543,0.000164300158758124,0.00350731966318563,0.00115589291090146,0.00155136563444103,6.89169517045229e-05,0.000165121644158717,0.00031422619940713,0.000146322134241927,5.24541947015678e-05
8,0.0037380613212008,0.00444271566811949,0.00842018556431867,0.00555010611424223,0.00561346294125542,0.00372094678459689,0.00372094678459689,0.0022784139146097,0.00691283494234085,0.00296715158037841,0.00299761137284804,0.00922194437589496,0.00820177246350795,0.00475377679686062,0.00994813104625791,0.00802901474526152,0.0022784139146097,0.00417159663629718,0.00497258693212643,0.00807864032685757,0.00839287403505296,0.00404261840958497,0.00692199316108599,0.00514273028238676,0.00306495180120692,0.00424247712362558,0.00470747443614528,0.00296715158037841,3.19644489081838e-05,0.000214584470086265,0.000508253331645392,0.000121087939987774,0.000693666323400066,5.88950133533217e-05,2.57154756582167e-05,0.000194364206436148,4.53217485301138e-05,4.26749440975982e-05,3.19357100124762e-05,7.8060095802357e-05,0.000189733691513538,0.000360316886599321,0.00363289173401427,0.00186427333392203,0.000984908867394552,2.37770611875021e-05,0.000307426968902291,0.000277627408650005,0.000237748170548002,5.98883689235663e-05
9,0.00588344552670605,0.00731080033619946,0.00571815158764366,0.00450321310199797,0.00660105200950056,0.00242247495771153,0.00242247495771153,0.00189571580267511,0.00866006768774241,0.00459274225795525,0.00923174212221056,0.00803952006390318,0.00396497172187082,0.00835535547230393,0.00770807435037568,0.00535390223376453,0.00189571580267511,0.0118233276807587,0.00681072541920003,0.00588723632972687,0.00535591280640801,0.0113552525872365,0.00576584562804783,0.00529309762350749,0.00947699544485658,0.0116114211268723,0.00821044901385903,0.00459274225795525,2.27248265787239e-05,0.000175915236468427,0.000863518052938161,0.000165919621110788,0.00205016156633064,0.000159830177835829,9.87649967783e-05,0.000274942247415311,3.28555779560702e-05,0.000187286892469274,4.92101070221906e-05,2.66152107997186e-05,9.90184698821395e-05,0.000127004488604143,0.00186262033821549,0.00159695801266935,0.00112665150663815,2.11451113045769e-05,0.000103370188298868,0.000625615691205894,0.000180404363163689,6.73768167871458e-05
10,0.0108292125514708,0.00446574659144972,0.0115102874115109,0.00514616188593209,0.00964902591658756,0.00271867832634598,0.00271867832634598,0.00269704597303644,0.00924533157376572,0.0024785099667497,0.00451698421966285,0.0019283127808194,0.00394957384560257,0.0064292594906874,0.0089271753677167,0.00365087426325772,0.00269704597303644,0.00776947796111926,0.00153253211465199,0.00379405650892295,0.0102221738779917,0.00577199348481372,0.00632693956140429,0.00664568861247972,0.00462581764440984,0.00578999880235642,0.00620256079128012,0.0024785099667497,4.66483854779653e-05,0.000229060768162981,0.000596843874518527,5.86149692480831e-05,0.00282591069844784,3.24079034612623e-05,9.62690032793034e-05,0.000136271085011685,4.23932551711914e-05,6.60434325254755e-05,3.68401276773511e-05,0.000214981136196002,7.64592814448406e-05,0.000468128434931714,0.003516160099025,0.00254991528345272,0.00145804154817597,5.77257499116968e-05,0.000231500737754686,0.0003810150501522,0.000169911738339579,3.16392249573028e-05
